id;title;placeType;price;area;rooms;floor;district;city;hasElevator;smokingAllowed;animalAllowed;onlyLongTerm;description;author;phoneNumber
11;Pokoj Gdansk Przymorze;ROOM;550.00;12;3;1;Przymorze;Gdansk;false;false;true;false;Mam do wynajecia pokoj dla studenta. Wszystkie oplaty w cenie, w tym Internet. Wynajem na caly rok akademicki. Dobra lokalizacja, blisko autobusu i SKM. Tylko dla niepalacych. Kaucja 1 miesiac.;Anna Nowak;567890234
12;Miejsce w pokoju dwuosobowym dla dziewczyny;BED;400.00;17;4;3;Zaspa;Gdansk;false;false;true;false;Szukam lokatorki do pokoju dwuosobowego. W mieszkaniu w sumie 6 studentek. lazienka i dodatkowa toaleta. Dobra lokalizacja. Kaucja 2 miesiace. Miekszanie nowe, urzadzone.;Marzena;4563678278
13;bardzo ladne mieszkanie centrum wrzeszcza;ROOM;780;12.0;3;3;Wrzeszcz;Gdansk;true;false;false;true;Zapraszam serdecznie;Mikolaj A;4506958
14;Gdansk rzeszcz bardzo ladne mieszkanie;BED;670;45.0;3;5;Morena;Gdansk;true;false;false;true;alksdjaksld;lkajsdjkla;lkjasdkaljsd
15;Fajna miejsowka;APARTMENT;1300;66.0;3;3;Zaspa;Gdansk;true;true;true;true;pisz szybko;Pawel P;123456789
16;Wrzecz 2 pokoje;APARTMENT;1000;55.0;2;4;Wrzeszcz;Gdansk;false;false;false;true;ekstra mieszkanie;Rafal K;rafal@wp.pl
17;lozko dla dziewczyny w pokoju;BED;400;12.0;1;9;Chylonia;Gdynia;false;true;true;true;Wynajme lozko dziewczynie w wieku do 19 lat;Maks 45l;maksxxx@maks.wp.pl
18;Chata wuja Toma;APARTMENT;1800;60.0;3;3;Wyscigi;Sopot;true;false;true;true;Wuj Tom zaprasza do swej chaty;Wuj Tom;fkjgbdkjxfd
19;bardzo ladne mieszkanie centrum wrzeszcza;ROOM;780;12.0;3;3;Wrzeszcz;Gdansk;true;false;false;true;Zapraszam serdecznie;Mikolaj A;4506958
20;Mieszkanie do wynajecia na Niedzwiedniku;APARTMENT;1500;70.0;4;4;Niedzwiednik;Gdansk;false;false;true;true;Przestronne mieszkanie z pelnym umeblowaniem. Osobna kuchnia, lazienka i toaleta oraz balkon. Mieszkanie w spokojnej okolicy, w otoczeniu lasu. Niedaleko przystanek PKM i wezel autobusowy.;Marta;555444333
21;Samodzielny pokoj dwuosobowy z lazienka;ROOM;1200;16.0;1;2;Gorny;Sopot;false;false;true;true;Wynajem od wrzesnia na rok akademicki. Samodzielny pokoj z lazienka jak kawalerka. Pelne wyposazenie. Blisko SKM, PKP, ZKM, UG Wydzial Zarzadzania. Cena 1200zl plus prad wg zuzycia.;Zbigniew;zbysiu@wp.pl
22;Piekne mieszkanie w centrum Zaspy;APARTMENT;2500;45.0;3;2;Zaspa;Gdansk;true;false;false;true;Sloneczne mieszkanie, blisko skm, sklepy, zapraszam serdecznie;Mikolaj A;456939283
